file_id,,,
,3,fat_calories,uint8
dive_settings,,,
,254,message_index,message_index
,0,name,string
,1,model,tissue_model_type
,2,gf_low,uint8
,3,gf_high,uint8
,4,water_type,water_type
,5,water_density,float32
,6,po2_warn,uint8
,7,po2_critical,uint8
,8,po2_deco,uint8
,9,safety_stop_enabled,bool
,10,bottom_depth,float32
,11,bottom_time,uint32
,12,apnea_countdown_enabled,bool
,13,apnea_countdown_time,uint32
,14,backlight_mode,dive_backlight_mode
,15,backlight_brightness,uint8
,16,backlight_timeout,backlight_timeout
,17,repeat_dive_interval,uint16
,18,safety_stop_time,uint16
,19,heart_rate_source_type,source_type
,20,heart_rate_source,uint8
,,heart_rate_antplus_device_type,antplus_device_type
,,heart_rate_local_device_type,local_device_type
dive_alarm,,,
,254,message_index,message_index
,0,depth,uint32
,1,time,sint32
,2,enabled,bool
,3,alarm_type,dive_alarm_type
,4,sound,tone
,5,dive_types,sub_sport
dive_gas,,,
,254,message_index,message_index
,0,helium_content,uint8
,1,oxygen_content,uint8
,2,status,dive_gas_status
goal,,,
,254,message_index,message_index
,0,sport,sport
,1,sub_sport,sub_sport
,2,start_date,date_time
,3,end_date,date_time
,4,type,goal
,5,value,uint32
,6,repeat,bool
,7,target_value,uint32
,8,recurrence,goal_recurrence
,9,recurrence_value,uint16
,10,enabled,bool
,11,source,goal_source
activity,,,
,253,timestamp,date_time
,0,total_timer_time,uint32
,1,num_sessions,uint16
,2,type,activity
,3,event,event
,4,event_type,event_type
,5,local_timestamp,local_date_time
,6,event_group,uint8
session,,,
,254,message_index,message_index
,253,timestamp,date_time
,0,event,event
,1,event_type,event_type
,2,start_time,date_time
,3,start_position_lat,sint32
,4,start_position_long,sint32
,5,sport,sport
,6,sub_sport,sub_sport
,7,total_elapsed_time,uint32
,8,total_timer_time,uint32
,9,total_distance,uint32
,10,total_cycles,uint32
,,total_strides,uint32
,,total_strokes,uint32
,11,total_calories,uint16
,13,total_fat_calories,uint16
,14,avg_speed,uint16
,15,max_speed,uint16
,16,avg_heart_rate,uint8
,17,max_heart_rate,uint8
,18,avg_cadence,uint8
,,avg_running_cadence,uint8
,19,max_cadence,uint8
,,max_running_cadence,uint8
,20,avg_power,uint16
,21,max_power,uint16
,22,total_ascent,uint16
,23,total_descent,uint16
,24,total_training_effect,uint8
,25,first_lap_index,uint16
,26,num_laps,uint16
,27,event_group,uint8
,28,trigger,session_trigger
,29,nec_lat,sint32
,30,nec_long,sint32
,31,swc_lat,sint32
,32,swc_long,sint32
,33,num_lengths,uint16
,34,normalized_power,uint16
,35,training_stress_score,uint16
,36,intensity_factor,uint16
,37,left_right_balance,left_right_balance_100
,41,avg_stroke_count,uint32
,42,avg_stroke_distance,uint16
,43,swim_stroke,swim_stroke
,44,pool_length,uint16
,45,threshold_power,uint16
,46,pool_length_unit,display_measure
,47,num_active_lengths,uint16
,48,total_work,uint32
,49,avg_altitude,uint16
,50,max_altitude,uint16
,51,gps_accuracy,uint8
,52,avg_grade,sint16
,53,avg_pos_grade,sint16
,54,avg_neg_grade,sint16
,55,max_pos_grade,sint16
,56,max_neg_grade,sint16
,57,avg_temperature,sint8
,58,max_temperature,sint8
,59,total_moving_time,uint32
,60,avg_pos_vertical_speed,sint16
,61,avg_neg_vertical_speed,sint16
,62,max_pos_vertical_speed,sint16
,63,max_neg_vertical_speed,sint16
,64,min_heart_rate,uint8
,65,time_in_hr_zone,uint32
,66,time_in_speed_zone,uint32
,67,time_in_cadence_zone,uint32
,68,time_in_power_zone,uint32
,69,avg_lap_time,uint32
,70,best_lap_index,uint16
,71,min_altitude,uint16
,82,player_score,uint16
,83,opponent_score,uint16
,84,opponent_name,string
,85,stroke_count,uint16
,86,zone_count,uint16
,87,max_ball_speed,uint16
,88,avg_ball_speed,uint16
,89,avg_vertical_oscillation,uint16
,90,avg_stance_time_percent,uint16
,91,avg_stance_time,uint16
,92,avg_fractional_cadence,uint8
,93,max_fractional_cadence,uint8
,94,total_fractional_cycles,uint8
,95,avg_total_hemoglobin_conc,uint16
,96,min_total_hemoglobin_conc,uint16
,97,max_total_hemoglobin_conc,uint16
,98,avg_saturated_hemoglobin_percent,uint16
,99,min_saturated_hemoglobin_percent,uint16
,100,max_saturated_hemoglobin_percent,uint16
,101,avg_left_torque_effectiveness,uint8
,102,avg_right_torque_effectiveness,uint8
,103,avg_left_pedal_smoothness,uint8
,104,avg_right_pedal_smoothness,uint8
,105,avg_combined_pedal_smoothness,uint8
,111,sport_index,uint8
,112,time_standing,uint32
,113,stand_count,uint16
,114,avg_left_pco,sint8
,115,avg_right_pco,sint8
,116,avg_left_power_phase,uint8
,117,avg_left_power_phase_peak,uint8
,118,avg_right_power_phase,uint8
,119,avg_right_power_phase_peak,uint8
,120,avg_power_position,uint16
,121,max_power_position,uint16
,122,avg_cadence_position,uint8
,123,max_cadence_position,uint8
,124,enhanced_avg_speed,uint32
,125,enhanced_max_speed,uint32
,126,enhanced_avg_altitude,uint32
,127,enhanced_min_altitude,uint32
,128,enhanced_max_altitude,uint32
,129,avg_lev_motor_power,uint16
,130,max_lev_motor_power,uint16
,131,lev_battery_consumption,uint8
,132,avg_vertical_ratio,uint16
,133,avg_stance_time_balance,uint16
,134,avg_step_length,uint16
,137,total_anaerobic_training_effect,uint8
,139,avg_vam,uint16
,168,training_load_peak,sint32
,181,total_grit,float32
,182,total_flow,float32
,183,jump_count,uint16
,186,avg_grit,float32
,187,avg_flow,float32
,199,total_fractional_ascent,uint8
